NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                          MESSAGE
default       42m         Normal    NodeHasSufficientPID      node/node01                                     Node node01 status is now: NodeHasSufficientPID
default       42m         Normal    NodeHasSufficientMemory   node/node01                                     Node node01 status is now: NodeHasSufficientMemory
default       42m         Normal    NodeHasNoDiskPressure     node/node01                                     Node node01 status is now: NodeHasNoDiskPressure
kube-system   40m         Normal    LeaderElection            endpoints/kube-controller-manager               node01_9f5db214-be4d-4b2a-b089-da8d24b0e459 became leader
kube-system   40m         Normal    LeaderElection            lease/kube-controller-manager                   node01_9f5db214-be4d-4b2a-b089-da8d24b0e459 became leader
default       40m         Normal    NodeAllocatableEnforced   node/node01                                     Updated Node Allocatable limit across pods
default       40m         Normal    NodeHasSufficientPID      node/node01                                     Node node01 status is now: NodeHasSufficientPID
default       40m         Normal    Starting                  node/node01                                     Starting kubelet.
default       40m         Normal    NodeHasNoDiskPressure     node/node01                                     Node node01 status is now: NodeHasNoDiskPressure
default       40m         Normal    NodeHasSufficientMemory   node/node01                                     Node node01 status is now: NodeHasSufficientMemory
kube-system   40m         Normal    ScalingReplicaSet         deployment/coredns                              Scaled up replica set coredns-5467dd7dc9 to 2
default       40m         Normal    SuccessfulCreate          daemonset/local-volume-provisioner              Created pod: local-volume-provisioner-wlz22
kube-system   40m         Normal    SuccessfulCreate          daemonset/kube-proxy                            Created pod: kube-proxy-2wrsn
kube-system   40m         Normal    SuccessfulCreate          replicaset/calico-kube-controllers-5f8b96b548   Created pod: calico-kube-controllers-5f8b96b548-nlvjs
kube-system   40m         Normal    SuccessfulCreate          replicaset/coredns-5467dd7dc9                   Created pod: coredns-5467dd7dc9-shckh
default       40m         Normal    RegisteredNode            node/node01                                     Node node01 event: Registered Node node01 in Controller
kube-system   40m         Normal    NoPods                    poddisruptionbudget/calico-kube-controllers     No matching pods found
default       40m         Normal    NodeReady                 node/node01                                     Node node01 status is now: NodeReady
kube-system   40m         Normal    SuccessfulCreate          daemonset/calico-node                           Created pod: calico-node-nwbwk
kube-system   40m         Normal    SuccessfulCreate          replicaset/coredns-5467dd7dc9                   Created pod: coredns-5467dd7dc9-q75s5
kube-system   40m         Normal    ScalingReplicaSet         deployment/calico-kube-controllers              Scaled up replica set calico-kube-controllers-5f8b96b548 to 1
kube-system   40m         Normal    Scheduled                 pod/calico-kube-controllers-5f8b96b548-nlvjs    Successfully assigned kube-system/calico-kube-controllers-5f8b96b548-nlvjs to node01
kube-system   40m         Normal    Scheduled                 pod/coredns-5467dd7dc9-shckh                    Successfully assigned kube-system/coredns-5467dd7dc9-shckh to node01
kube-system   40m         Normal    Started                   pod/calico-node-nwbwk                           Started container upgrade-ipam
kube-system   40m         Normal    Created                   pod/calico-node-nwbwk                           Created container upgrade-ipam
kube-system   40m         Normal    Pulled                    pod/calico-node-nwbwk                           Container image "docker.io/calico/cni:v3.18.0" already present on machine
kube-system   40m         Normal    Scheduled                 pod/calico-node-nwbwk                           Successfully assigned kube-system/calico-node-nwbwk to node01
kube-system   40m         Normal    Scheduled                 pod/kube-proxy-2wrsn                            Successfully assigned kube-system/kube-proxy-2wrsn to node01
kube-system   40m         Normal    LeaderElection            endpoints/kube-scheduler                        node01_341ca4c7-5a56-47a7-a129-3b6e623b9846 became leader
kube-system   40m         Normal    LeaderElection            lease/kube-scheduler                            node01_341ca4c7-5a56-47a7-a129-3b6e623b9846 became leader
default       40m         Normal    Starting                  node/node02                                     Starting kubelet.
